A1BG--ITIH4	Liver=[count:3=pct:2.5]
ATP9B--MBP	Brain=[count:3=pct:0.5]
AUH--NFIL3	Skin=[count:1=pct:0.3],Whole_Blood=[count:1=pct:0.8],Adipose_Tissue=[count:1=pct:0.3]
AUH--SYK	Brain=[count:6=pct:0.9],Esophagus=[count:2=pct:0.5],Pituitary=[count:1=pct:1.9],Nerve=[count:1=pct:0.6],Heart=[count:1=pct:0.4]
B2M--BCL6	Blood=[count:1=pct:0.6],Whole_Blood=[count:1=pct:0.8]
B2M--GNAS	Whole_Blood=[count:8=pct:6.1],Blood=[count:3=pct:1.7],Salivary_Gland=[count:1=pct:2.6],Lung=[count:1=pct:0.6],Adipose_Tissue=[count:1=pct:0.3]
B2M--HNRNPUL1	Whole_Blood=[count:2=pct:1.5],Blood=[count:1=pct:0.6]
B2M--RAC2	Whole_Blood=[count:2=pct:1.5],Blood=[count:2=pct:1.1]
B2M--RP11-96O20.4	Blood=[count:4=pct:2.3]
B3GNT5--KLHL24	Blood=[count:2=pct:1.1]
B3GNTL1--METRNL	Blood=[count:5=pct:2.9],Whole_Blood=[count:5=pct:3.8],Lung=[count:2=pct:1.2]
BAG5--APOPT1	Testis=[count:2=pct:1.9]
BBS9--BMPER	Nerve=[count:2=pct:1.2],Brain=[count:1=pct:0.2],Skin=[count:1=pct:0.3],Pituitary=[count:1=pct:1.9],Blood_Vessel=[count:1=pct:0.3]
BCAR1--PGA3	Stomach=[count:2=pct:2.2]
BCAR1--PGA4	Stomach=[count:2=pct:2.2]
BCAS1--MBP	Brain=[count:2=pct:0.3]
BCL3--RABAC1	Esophagus=[count:1=pct:0.2],Blood=[count:1=pct:0.6]
BCL7A--PSMD9	Adipose_Tissue=[count:1=pct:0.3],Breast=[count:1=pct:0.9],Nerve=[count:1=pct:0.6],Skin=[count:1=pct:0.3]
BCR--ABL1	Brain=[count:2=pct:0.3],Skin=[count:1=pct:0.3],Prostate=[count:1=pct:1.6],Thyroid=[count:1=pct:0.6],Muscle=[count:1=pct:0.4],Adipose_Tissue=[count:1=pct:0.3]
BEST1--CYP11B1	Adrenal_Gland=[count:3=pct:3.5]
BGN--GADL1	Blood_Vessel=[count:10=pct:2.7],Testis=[count:1=pct:1.0],Nerve=[count:1=pct:0.6],Heart=[count:1=pct:0.4],Lung=[count:1=pct:0.6],Prostate=[count:1=pct:1.6]
BMPR1B--PDLIM5	Muscle=[count:3=pct:1.3]
BMS1P10--DNAJB4	Adipose_Tissue=[count:1=pct:0.3],Blood_Vessel=[count:1=pct:0.3],Heart=[count:1=pct:0.4],Ovary=[count:1=pct:1.9]
BNC2--C9orf92	Esophagus=[count:2=pct:0.5],Lung=[count:1=pct:0.6],Ovary=[count:1=pct:1.9],Colon=[count:1=pct:0.5],Nerve=[count:1=pct:0.6]
BRI3BP--UBC	Stomach=[count:1=pct:1.1],Whole_Blood=[count:1=pct:0.8],Lung=[count:1=pct:0.6],Breast=[count:1=pct:0.9],Blood_Vessel=[count:1=pct:0.3],Testis=[count:1=pct:1.0],Small_Intestine=[count:1=pct:1.8]
BSG--R3HDM4	Blood=[count:4=pct:2.3],Whole_Blood=[count:4=pct:3.0]
BSG--SHC2	Vagina=[count:1=pct:1.8],Adrenal_Gland=[count:1=pct:1.2],Pancreas=[count:1=pct:0.6],Lung=[count:1=pct:0.6],Liver=[count:1=pct:0.8],Heart=[count:1=pct:0.4]
C14orf105--PTPN2	Brain=[count:1=pct:0.2],Skin=[count:1=pct:0.3],Thyroid=[count:1=pct:0.6],Spleen=[count:1=pct:0.9],Adipose_Tissue=[count:1=pct:0.3]
C15orf57--CBX3	Muscle=[count:83=pct:35.3],Blood_Vessel=[count:74=pct:20.1],Adipose_Tissue=[count:59=pct:19.8],Heart=[count:59=pct:23.5],Thyroid=[count:47=pct:26.6],Esophagus=[count:39=pct:9.6],Spleen=[count:39=pct:34.8],Lung=[count:35=pct:21.0],Brain=[count:27=pct:4.1],Colon=[count:26=pct:13.6],Adrenal_Gland=[count:20=pct:23.5],Pituitary=[count:16=pct:30.8],Nerve=[count:15=pct:8.8],Pancreas=[count:14=pct:7.7],Blood=[count:12=pct:6.9],Prostate=[count:12=pct:19.7],Stomach=[count:12=pct:13.5],Skin=[count:11=pct:3.5],Small_Intestine=[count:10=pct:18.2],Testis=[count:10=pct:9.5],Uterus=[count:8=pct:18.6],Ovary=[count:8=pct:15.1],Breast=[count:8=pct:7.2],Whole_Blood=[count:8=pct:6.1],Liver=[count:7=pct:5.8],Vagina=[count:5=pct:9.1],Salivary_Gland=[count:5=pct:12.8],Kidney=[count:3=pct:21.4]
C17orf62--SLC16A3	Blood=[count:5=pct:2.9],Whole_Blood=[count:1=pct:0.8]
C19orf25--DAZAP1	Skin=[count:3=pct:1.0],Whole_Blood=[count:2=pct:1.5],Blood=[count:1=pct:0.6]
C1orf194--UQCR10	Testis=[count:16=pct:15.2],Pituitary=[count:4=pct:7.7],Lung=[count:4=pct:2.4],Brain=[count:3=pct:0.5],Pancreas=[count:1=pct:0.6],Esophagus=[count:1=pct:0.2],Fallopian_Tube=[count:1=pct:16.7],Thyroid=[count:1=pct:0.6],Stomach=[count:1=pct:1.1],Prostate=[count:1=pct:1.6]
C20orf166--ALDOA	Muscle=[count:4=pct:1.7]
C20orf166--C9orf3	Muscle=[count:26=pct:11.1],Heart=[count:18=pct:7.2],Esophagus=[count:3=pct:0.7]
C20orf166--HOXC5	Muscle=[count:2=pct:0.9]
C20orf166--MYH6	Heart=[count:13=pct:5.2],Muscle=[count:10=pct:4.3]
C20orf166--MYH7	Muscle=[count:3=pct:1.3],Heart=[count:2=pct:0.8]
C20orf166--MYH7B	Muscle=[count:4=pct:1.7]
C22orf39--IGH@	Thyroid=[count:2=pct:1.1],Spleen=[count:2=pct:1.8]
C3--CYP2E1	Liver=[count:2=pct:1.7]
C3orf27--SLC22A1	Liver=[count:10=pct:8.3]
C5orf42--NUP155	Blood_Vessel=[count:2=pct:0.5],Esophagus=[count:2=pct:0.5],Pancreas=[count:1=pct:0.6],Adipose_Tissue=[count:1=pct:0.3],Muscle=[count:1=pct:0.4],Stomach=[count:1=pct:1.1]
C6orf141--ZNF529	Brain=[count:22=pct:3.3],Adipose_Tissue=[count:5=pct:1.7],Skin=[count:1=pct:0.3],Testis=[count:1=pct:1.0],Breast=[count:1=pct:0.9]
C7orf63--AC002127.4	Testis=[count:1=pct:1.0],Esophagus=[count:1=pct:0.2]
C9orf3--NFIL3	Blood_Vessel=[count:2=pct:0.5],Stomach=[count:1=pct:1.1],Fallopian_Tube=[count:1=pct:16.7],Nerve=[count:1=pct:0.6]
C9orf3--SFPQ	Lung=[count:1=pct:0.6],Muscle=[count:1=pct:0.4]
CACNB1--MED24	Muscle=[count:106=pct:45.1]
CAMK1D--CDC123	Whole_Blood=[count:2=pct:1.5],Spleen=[count:1=pct:0.9],Blood=[count:1=pct:0.6]
CAMK2B--ACTG1	Muscle=[count:3=pct:1.3]
CAPN15--TMEM8A	Skin=[count:1=pct:0.3],Testis=[count:1=pct:1.0]
CARKD--COL4A2	Nerve=[count:1=pct:0.6],Muscle=[count:1=pct:0.4]
CASC17--RP11-238F2.1	Brain=[count:5=pct:0.8]
CASP4--CARD18	Blood_Vessel=[count:2=pct:0.5],Skin=[count:2=pct:0.6],Blood=[count:1=pct:0.6],Pancreas=[count:1=pct:0.6],Heart=[count:1=pct:0.4],Nerve=[count:1=pct:0.6],Lung=[count:1=pct:0.6],Thyroid=[count:1=pct:0.6],Colon=[count:1=pct:0.5]
CCDC14--ROPN1	Testis=[count:3=pct:2.9]
CCDC40--ACTG1	Esophagus=[count:2=pct:0.5]
CCDC64--CHMP1A	Testis=[count:2=pct:1.9],Skin=[count:1=pct:0.3]
CCDC74A--PTPN12	Blood_Vessel=[count:1=pct:0.3],Heart=[count:1=pct:0.4]
CCDC85C--RP11-2E11.5	Brain=[count:3=pct:0.5],Pancreas=[count:1=pct:0.6]
CD109--MTO1	Blood_Vessel=[count:2=pct:0.5],Skin=[count:1=pct:0.3],Spleen=[count:1=pct:0.9],Blood=[count:1=pct:0.6],Esophagus=[count:1=pct:0.2],Nerve=[count:1=pct:0.6]
CD44--PICALM	Whole_Blood=[count:1=pct:0.8],Blood=[count:1=pct:0.6]
CD55--MNDA	Whole_Blood=[count:1=pct:0.8],Blood=[count:1=pct:0.6]
CD55--SMAP2	Blood=[count:2=pct:1.1],Whole_Blood=[count:1=pct:0.8]
CDC42EP3--PRKD3	Brain=[count:2=pct:0.3]
CDC42SE1--DHX34	Whole_Blood=[count:2=pct:1.5]
CDKN1A--EEF1A1	Blood_Vessel=[count:1=pct:0.3],Skin=[count:1=pct:0.3]
CDKN1A--UBC	Lung=[count:1=pct:0.6],Colon=[count:1=pct:0.5]
CEACAM5--HAUS8	Colon=[count:2=pct:1.0]
CEL--CTRB2	Pancreas=[count:17=pct:9.4]
CEL--PNLIPRP1	Pancreas=[count:2=pct:1.1]
CEL--PRSS1	Pancreas=[count:10=pct:5.5]
CEL--REG1A	Pancreas=[count:54=pct:29.8]
CEL--RP11-331F4.4	Pancreas=[count:11=pct:6.1]
CELA2A--CLPS	Pancreas=[count:12=pct:6.6]
CELA2A--CPA2	Pancreas=[count:5=pct:2.8]
CELA2A--CPB1	Pancreas=[count:3=pct:1.7]
CELA2A--CTRB1	Pancreas=[count:4=pct:2.2]
CELA2A--PLA2G1B	Pancreas=[count:2=pct:1.1]
CELA2A--PNLIP	Pancreas=[count:3=pct:1.7]
CELA2A--PNLIPRP1	Pancreas=[count:2=pct:1.1]
CELA2A--PRSS3P2	Pancreas=[count:5=pct:2.8]
CELA2B--CPA2	Pancreas=[count:3=pct:1.7]
CELA2B--CPB1	Pancreas=[count:4=pct:2.2]
CELA2B--CTRB1	Pancreas=[count:2=pct:1.1]
CELA2B--PNLIP	Pancreas=[count:2=pct:1.1]
CELA2B--PNLIPRP1	Pancreas=[count:2=pct:1.1]
CELA3A--CLPS	Pancreas=[count:31=pct:17.1],Breast=[count:1=pct:0.9]
CELA3A--CPA1	Pancreas=[count:17=pct:9.4]
CELA3A--CPA2	Pancreas=[count:6=pct:3.3]
CELA3A--GP2	Pancreas=[count:7=pct:3.9]
CELA3A--PNLIP	Pancreas=[count:27=pct:14.9]
CELA3A--PNLIPRP1	Pancreas=[count:7=pct:3.9]
CELA3A--PNLIPRP2	Pancreas=[count:2=pct:1.1]
CELA3A--PRSS1	Pancreas=[count:5=pct:2.8]
CELA3A--PRSS3	Pancreas=[count:2=pct:1.1]
CELA3A--REG1A	Pancreas=[count:3=pct:1.7]
CELA3A--RP11-331F4.4	Pancreas=[count:2=pct:1.1]
CELA3A--TAGLN	Pancreas=[count:2=pct:1.1]
CELA3B--CLPS	Pancreas=[count:2=pct:1.1]
CELA3B--CPA2	Pancreas=[count:3=pct:1.7]
CELA3B--CPB1	Pancreas=[count:4=pct:2.2]
CELA3B--CPSF3L	Pancreas=[count:2=pct:1.1]
CELA3B--PLA2G1B	Pancreas=[count:3=pct:1.7]
CELA3B--PRSS1	Pancreas=[count:4=pct:2.2]
CELF1--DAPL1	Skin=[count:5=pct:1.6],Brain=[count:1=pct:0.2],Adipose_Tissue=[count:1=pct:0.3]
CEP350--RFWD2	Thyroid=[count:1=pct:0.6],Lung=[count:1=pct:0.6]
CFD--PRSS30P	Esophagus=[count:1=pct:0.2],Heart=[count:1=pct:0.4],Nerve=[count:1=pct:0.6]
CFLAR--GCA	Blood=[count:1=pct:0.6],Whole_Blood=[count:1=pct:0.8]
CFLAR--NEDD8	Skin=[count:3=pct:1.0],Pancreas=[count:1=pct:0.6],Lung=[count:1=pct:0.6],Thyroid=[count:1=pct:0.6]
CHD2--CHMP1A	Thyroid=[count:2=pct:1.1],Brain=[count:1=pct:0.2]
CHD5--KCNAB2	Blood_Vessel=[count:3=pct:0.8],Esophagus=[count:2=pct:0.5],Adipose_Tissue=[count:2=pct:0.7],Skin=[count:2=pct:0.6],Colon=[count:2=pct:1.0],Blood=[count:1=pct:0.6],Breast=[count:1=pct:0.9],Adrenal_Gland=[count:1=pct:1.2]
CHD8--HNRNPC	Whole_Blood=[count:1=pct:0.8],Esophagus=[count:1=pct:0.2],Blood_Vessel=[count:1=pct:0.3]
CHID1--ENTPD3-AS1	Brain=[count:2=pct:0.3],Stomach=[count:1=pct:1.1],Skin=[count:1=pct:0.3],Thyroid=[count:1=pct:0.6]
CHPF--CTRB2	Pancreas=[count:2=pct:1.1]
CISD2--ETNPPL	Brain=[count:2=pct:0.3]
CKM--MYH7	Muscle=[count:2=pct:0.9]
CKM--TPM2	Muscle=[count:114=pct:48.5]
CLEC12A--CHMP1A	Whole_Blood=[count:4=pct:3.0],Blood=[count:1=pct:0.6]
CLEC12A--ZNF467	Whole_Blood=[count:2=pct:1.5],Blood=[count:1=pct:0.6]
CLPS--AMY2A	Pancreas=[count:3=pct:1.7]
CLPS--CEL	Pancreas=[count:7=pct:3.9]
CLPS--CELA3A	Pancreas=[count:62=pct:34.3],Adipose_Tissue=[count:1=pct:0.3]
CLPS--CELA3B	Pancreas=[count:4=pct:2.2]
CLPS--CPA1	Pancreas=[count:34=pct:18.8],Adipose_Tissue=[count:1=pct:0.3]
CLPS--CPB1	Pancreas=[count:2=pct:1.1]
CLPS--GP2	Pancreas=[count:4=pct:2.2]
CLPS--PNLIP	Pancreas=[count:2=pct:1.1]
CMYA5--MYBPC1	Muscle=[count:2=pct:0.9]
CNDP1--MBP	Brain=[count:9=pct:1.4]
CNN2--DAZAP1	Blood_Vessel=[count:1=pct:0.3],Esophagus=[count:1=pct:0.2]
CNN2--MED16	Whole_Blood=[count:6=pct:4.5],Blood=[count:5=pct:2.9]
CNN2--PPP1R12C	Blood_Vessel=[count:54=pct:14.6],Esophagus=[count:40=pct:9.9],Colon=[count:27=pct:14.1],Stomach=[count:6=pct:6.7],Skin=[count:4=pct:1.3],Breast=[count:4=pct:3.6],Prostate=[count:3=pct:4.9],Spleen=[count:3=pct:2.7],Small_Intestine=[count:2=pct:3.6],Fallopian_Tube=[count:1=pct:16.7],Thyroid=[count:1=pct:0.6],Ovary=[count:1=pct:1.9],Uterus=[count:1=pct:2.3],Vagina=[count:1=pct:1.8],Adipose_Tissue=[count:1=pct:0.3],Blood=[count:1=pct:0.6]
CNN2--SBNO2	Blood=[count:4=pct:2.3],Whole_Blood=[count:3=pct:2.3],Esophagus=[count:1=pct:0.2]
COL18A1--CDT1	Blood_Vessel=[count:6=pct:1.6],Nerve=[count:1=pct:0.6],Skin=[count:1=pct:0.3],Colon=[count:1=pct:0.5]
COL4A4--RHBDD1	Muscle=[count:1=pct:0.4],Prostate=[count:1=pct:1.6]
COL6A2--FLNA	Blood_Vessel=[count:1=pct:0.3],Uterus=[count:1=pct:2.3]
COL6A2--FTCD	Uterus=[count:1=pct:2.3],Colon=[count:1=pct:0.5],Small_Intestine=[count:1=pct:1.8]
COL6A2--TPM2	Blood_Vessel=[count:2=pct:0.5],Esophagus=[count:1=pct:0.2]
COL7A1--ACTG1	Heart=[count:2=pct:0.8],Esophagus=[count:1=pct:0.2],Blood_Vessel=[count:1=pct:0.3]
COMMD10--AP3S1	Heart=[count:3=pct:1.2],Blood_Vessel=[count:2=pct:0.5],Esophagus=[count:2=pct:0.5],Skin=[count:1=pct:0.3],Stomach=[count:1=pct:1.1],Adrenal_Gland=[count:1=pct:1.2],Ovary=[count:1=pct:1.9],Uterus=[count:1=pct:2.3],Muscle=[count:1=pct:0.4],Blood=[count:1=pct:0.6]
CORO6--ACTG1	Muscle=[count:42=pct:17.9],Esophagus=[count:1=pct:0.2]
COX16--RP11-486O13.4	Brain=[count:2=pct:0.3],Skin=[count:2=pct:0.6],Pituitary=[count:1=pct:1.9],Whole_Blood=[count:1=pct:0.8]
COX6A2--ATP2A1	Muscle=[count:3=pct:1.3]
CPA1--CEL	Pancreas=[count:6=pct:3.3]
CPA1--PNLIP	Pancreas=[count:21=pct:11.6]
CPA1--PRSS1	Pancreas=[count:7=pct:3.9]
CPA1--RAB11FIP3	Pancreas=[count:3=pct:1.7]
CPA1--RP11-331F4.4	Pancreas=[count:2=pct:1.1]
CPA2--AMY2A	Pancreas=[count:8=pct:4.4]
CPA2--AMY2B	Pancreas=[count:5=pct:2.8]
CPA2--AMYP1	Pancreas=[count:5=pct:2.8]
