id	geneID	symbol	geneName	otherID	species	humanOrtho	authority	version_date
82	2695	GIP	gastric inhibitory polypeptide	GIP	human	2695	miscellaneous	20110624
83	2735	GLI1	GLI family zinc finger 1	GLI1	human	2735	miscellaneous	20110624
84	2736	GLI2	GLI family zinc finger 2	GLI2	human	2736	miscellaneous	20110624
85	2737	GLI3	GLI family zinc finger 3	GLI3	human	2737	miscellaneous	20110624
86	2778	GNAS	GNAS complex locus	GNAS	human	2778	miscellaneous	20110624
87	2925	GRPR	gastrin-releasing peptide receptor	GRPR	human	2925	miscellaneous	20110624
88	2944	GSTM1	glutathione S-transferase mu 1	GSTM1	human	2944	miscellaneous	20110624
89	2952	GSTT1	glutathione S-transferase theta 1	GSTT1	human	2952	miscellaneous	20110624
90	3090	HIC1	hypermethylated in cancer 1	HIC1	human	3090	miscellaneous	20110624
91	3218	HOXB8	homeobox B8	HOXB8	human	3218	miscellaneous	20110624
92	3482	IGF2R	insulin-like growth factor 2 receptor	IGF2R	human	3482	miscellaneous	20110624
93	3558	IL2	interleukin 2	IL2	human	3558	miscellaneous	20110624
94	3560	IL2RB	interleukin 2 receptor, beta	IL2RB	human	3560	miscellaneous	20110624
95	3562	IL3	interleukin 3 (colony-stimulating factor, multiple)	IL3	human	3562	miscellaneous	20110624
96	11009	IL24	interleukin 24	IL24	human	11009	miscellaneous	20110624
97	54556	ING3	inhibitor of growth family, member 3	ING3	human	54556	miscellaneous	20110624
98	3725	JUN	jun proto-oncogene	JUN	human	3725	miscellaneous	20110624
99	3932	LCK	lymphocyte-specific protein tyrosine kinase	LCK	human	3932	miscellaneous	20110624
100	4004	LMO1	LIM domain only 1 (rhombotin 1)	LMO1	human	4004	miscellaneous	20110624
101	4005	LMO2	LIM domain only 2 (rhombotin-like 1)	LMO2	human	4005	miscellaneous	20110624
102	4049	LTA	lymphotoxin alpha (TNF superfamily, member 1)	LTA	human	4049	miscellaneous	20110624
103	4097	MAFG	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	MAFG	human	4097	miscellaneous	20110624
104	4142	MAS1	MAS1 oncogene	MAS1	human	4142	miscellaneous	20110624
105	4149	MAX	MYC associated factor X	MAX	human	4149	miscellaneous	20110624
106	4163	MCC	mutated in colorectal cancers	MCC	human	4163	miscellaneous	20110624
107	4168	MCF2	MCF.2 cell line derived transforming sequence	MCF2	human	4168	miscellaneous	20110624
108	4193	MDM2	Mdm2 p53 binding protein homolog (mouse)	MDM2	human	4193	miscellaneous	20110624
109	4221	MEN1	multiple endocrine neoplasia I	MEN1	human	4221	miscellaneous	20110624
110	10461	MERTK	c-mer proto-oncogene tyrosine kinase	MERTK	human	10461	miscellaneous	20110624
111	4233	MET	met proto-oncogene (hepatocyte growth factor receptor)	MET	human	4233	miscellaneous	20110624
112	9258	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	MFHAS1	human	9258	miscellaneous	20110624
113	4292	MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	MLH1	human	4292	miscellaneous	20110624
114	4297	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	MLL	human	4297	miscellaneous	20110624
115	4342	MOS	v-mos Moloney murine sarcoma viral oncogene homolog	MOS	human	4342	miscellaneous	20110624
116	4352	MPL	myeloproliferative leukemia virus oncogene	MPL	human	4352	miscellaneous	20110624
117	4436	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	MSH2	human	4436	miscellaneous	20110624
118	4601	MXI1	MAX interactor 1	MXI1	human	4601	miscellaneous	20110624
119	4610	MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	MYCL1	human	4610	miscellaneous	20110624
120	4681	NBL1	neuroblastoma, suppression of tumorigenicity 1	NBL1	human	4681	miscellaneous	20110624
121	4690	NCK1	NCK adaptor protein 1	NCK1	human	4690	miscellaneous	20110624
122	4771	NF2	neurofibromin 2 (merlin)	NF2	human	4771	miscellaneous	20110624
123	4855	NOTCH4	notch 4	NOTCH4	human	4855	miscellaneous	20110624
124	4856	NOV	nephroblastoma overexpressed gene	NOV	human	4856	miscellaneous	20110624
125	4914	NTRK1	neurotrophic tyrosine kinase, receptor, type 1	NTRK1	human	4914	miscellaneous	20110624
126	5089	PBX2	pre-B-cell leukemia homeobox 2	PBX2	human	5089	miscellaneous	20110624
127	5155	PDGFB	platelet-derived growth factor beta polypeptide	PDGFB	human	5155	miscellaneous	20110624
128	5157	PDGFRL	platelet-derived growth factor receptor-like	PDGFRL	human	5157	miscellaneous	20110624
129	5320	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)	PLA2G2A	human	5320	miscellaneous	20110624
130	5371	PML	promyelocytic leukemia	PML	human	5371	miscellaneous	20110624
131	7799	PRDM2	PR domain containing 2, with ZNF domain	PRDM2	human	7799	miscellaneous	20110624
132	112464	PRKCDBP	protein kinase C, delta binding protein	PRKCDBP	human	112464	miscellaneous	20110624
133	5618	PRLR	prolactin receptor	PRLR	human	5618	miscellaneous	20110624
134	5727	PTCH1	patched 1	PTCH1	human	5727	miscellaneous	20110624
135	5728	PTEN	phosphatase and tensin homolog	PTEN	human	5728	miscellaneous	20110624
136	5820	PVT1	Pvt1 oncogene (non-protein coding)	Pvt1	human	5820	miscellaneous	20110624
137	4218	RAB8A	RAB8A, member RAS oncogene family	RAB8A	human	4218	miscellaneous	20110624
138	5894	RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	RAF1	human	5894	miscellaneous	20110624
139	5898	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	RALA	human	5898	miscellaneous	20110624
140	5899	RALB	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	RALB	human	5899	miscellaneous	20110624
141	5925	RB1	retinoblastoma 1	RB1	human	5925	miscellaneous	20110624
142	9821	RB1CC1	RB1-inducible coiled-coil 1	RB1CC1	human	9821	miscellaneous	20110624
143	5970	RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	RELA	human	5970	miscellaneous	20110624
144	5979	RET	ret proto-oncogene	RET	human	5979	miscellaneous	20110624
145	387	RHOA	ras homolog gene family, member A	RHOA	human	387	miscellaneous	20110624
146	388	RHOB	ras homolog gene family, member B	RHOB	human	388	miscellaneous	20110624
147	389	RHOC	ras homolog gene family, member C	RHOC	human	389	miscellaneous	20110624
148	6098	ROS1	c-ros oncogene 1 , receptor tyrosine kinase	ROS1	human	6098	miscellaneous	20110624
149	6395	SEA	S13 erythroblastosis oncogene homolog (avian)	SEA	human	6395	miscellaneous	20110624
150	6464	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	SHC1	human	6464	miscellaneous	20110624
151	6497	SKI	v-ski sarcoma viral oncogene homolog (avian)	SKI	human	6497	miscellaneous	20110624
152	6498	SKIL	SKI-like oncogene	SKIL	human	6498	miscellaneous	20110624
153	6502	SKP2	S-phase kinase-associated protein 2 (p45)	SKP2	human	6502	miscellaneous	20110624
154	4087	SMAD2	SMAD family member 2	SMAD2	human	4087	miscellaneous	20110624
155	4089	SMAD4	SMAD family member 4	SMAD4	human	4089	miscellaneous	20110624
156	6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	SMARCB1	human	6598	miscellaneous	20110624
157	6714	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	SRC	human	6714	miscellaneous	20110624
158	6764	ST5	suppression of tumorigenicity 5	ST5	human	6764	miscellaneous	20110624
159	7704	ZBTB16	zinc finger and BTB domain containing 16	ZBTB16	human	7704	miscellaneous	20110624
160	7525	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	YES1	human	7525	miscellaneous	20110624
161	7490	WT1	Wilms tumor 1	WT1	human	7490	miscellaneous	20110624
162	7472	WNT2	wingless-type MMTV integration site family member 2	WNT2	human	7472	miscellaneous	20110624
163	7480	WNT10B	wingless-type MMTV integration site family, member 10B	WNT10B	human	7480	miscellaneous	20110624
164	7474	WNT5A	wingless-type MMTV integration site family, member 5A	WNT5A	human	7474	miscellaneous	20110624
165	7473	WNT3	wingless-type MMTV integration site family, member 3	WNT3	human	7473	miscellaneous	20110624
166	7471	WNT1	wingless-type MMTV integration site family, member 1	WNT1	human	7471	miscellaneous	20110624
167	7428	VHL	von Hippel-Lindau tumor suppressor	VHL	human	7428	miscellaneous	20110624
168	7375	USP4	ubiquitin specific peptidase 4 (proto-oncogene)	USP4	human	7375	miscellaneous	20110624
169	7124	TNF	tumor necrosis factor	TNF	human	7124	miscellaneous	20110624
170	7249	TSC2	tuberous sclerosis 2	TSC2	human	7249	miscellaneous	20110624
171	7067	THRA	thyroid hormone receptor, alpha	THRA	human	7067	miscellaneous	20110624
172	7015	TERT	telomerase reverse transcriptase	TERT	human	7015	miscellaneous	20110624
173	7066	THPO	thrombopoietin	THPO	human	7066	miscellaneous	20110624
174	7048	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	TGFBR2	human	7048	miscellaneous	20110624
175	7046	TGFBR1	transforming growth factor, beta receptor 1	TGFBR1	human	7046	miscellaneous	20110624
176	6886	TAL1	T-cell acute lymphocytic leukemia 1	TAL1	human	6886	miscellaneous	20110624
177	7161	TP73	tumor protein p73	TP73	human	7161	miscellaneous	20110624
178	7414	VCL	vinculin	VCL	human	7414	miscellaneous	20110624
179	4071	TM4SF1	transmembrane 4 L six family member 1	TM4SF1	human	4071	miscellaneous	20110624
180	3195	TLX1	T-cell leukemia homeobox 1	TLX1	human	3195	miscellaneous	20110624
181	7248	TSC1	tuberous sclerosis 1	TSC1	human	7248	miscellaneous	20110624
182	7251	TSG101	tumor susceptibility gene 101	TSG101	human	7251	miscellaneous	20110624
183	7409	VAV1	vav 1 guanine nucleotide exchange factor	VAV1	human	7409	miscellaneous	20110624
184	7410	VAV2	vav 2 guanine nucleotide exchange factor	VAV2	human	7410	miscellaneous	20110624
189	23047	PDS5B	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	APRIN	human	23047	miscellaneous	20110624
190	3646	EIF3E	eukaryotic translation initiation factor 3, subunit E	EIF3S6	human	3646	miscellaneous	20110624
191	2290	FOXG1	forkhead box G1	FOXG1B	human	2290	miscellaneous	20110624
192	25	ABL1	c-abl oncogene 1, non-receptor tyrosine kinase	ABL1	human	25	humanlymph	20110624
193	596	BCL2	B-cell CLL/lymphoma 2	BCL2	human	596	humanlymph	20110624
194	53335	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	BCL11A	human	53335	humanlymph	20110624
195	64919	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	BCL11B	human	64919	humanlymph	20110624
196	613	BCR	breakpoint cluster region	BCR	human	613	humanlymph	20110624
197	648	BMI1	BMI1 polycomb ring finger oncogene	BMI1	human	648	humanlymph	20110624
198	6046	BRD2	bromodomain containing 2	BRD2	human	6046	humanlymph	20110624
199	595	CCND1	cyclin D1	CCND1	human	595	humanlymph	20110624
200	894	CCND2	cyclin D2	CCND2	human	894	humanlymph	20110624
201	1045	CDX2	caudal type homeobox 2	CDX2	human	1045	humanlymph	20110624
202	2120	ETV6	ets variant 6	ETV6	human	2120	humanlymph	20110624
203	3717	JAK2	Janus kinase 2	JAK2	human	3717	humanlymph	20110624
204	3727	JUND	jun D proto-oncogene	JUND	human	3727	humanlymph	20110624
205	1316	KLF6	Kruppel-like factor 6	KLF6	human	1316	humanlymph	20110624
206	3932	LCK	lymphocyte-specific protein tyrosine kinase	LCK	human	3932	humanlymph	20110624
207	4004	LMO1	LIM domain only 1 (rhombotin 1)	LMO1	human	4004	humanlymph	20110624
208	4005	LMO2	LIM domain only 2 (rhombotin-like 1)	LMO2	human	4005	humanlymph	20110624
209	4066	LYL1	lymphoblastic leukemia derived sequence 1	LYL1	human	4066	humanlymph	20110624
210	4297	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	MLL	human	4297	humanlymph	20110624
211	8028	MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	MLLT10	human	8028	humanlymph	20110624
212	4515	MTCP1	mature T-cell proliferation 1	MTCP1	human	4515	humanlymph	20110624
213	4609	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	MYC	human	4609	humanlymph	20110624
214	4791	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NFKB2	human	4791	humanlymph	20110624
215	4851	NOTCH1	notch 1	NOTCH1	human	4851	humanlymph	20110624
216	4928	NUP98	nucleoporin 98kDa	NUP98	human	4928	humanlymph	20110624
217	10215	OLIG2	oligodendrocyte lineage transcription factor 2	OLIG2	human	10215	humanlymph	20110624
218	5087	PBX1	pre-B-cell leukemia homeobox 1	PBX1	human	5087	humanlymph	20110624
219	8301	PICALM	phosphatidylinositol binding clathrin assembly protein	PICALM	human	8301	humanlymph	20110624
220	5910	RAP1GDS1	RAP1, GTP-GDP dissociation stimulator 1	RAP1GDS1	human	5910	humanlymph	20110624
221	861	RUNX1	runt-related transcription factor 1	RUNX1	human	861	humanlymph	20110624
222	6491	STIL	SCL/TAL1 interrupting locus	STIL	human	6491	humanlymph	20110624
223	6886	TAL1	T-cell acute lymphocytic leukemia 1	TAL1	human	6886	humanlymph	20110624
224	6887	TAL2	T-cell acute lymphocytic leukemia 2	TAL2	human	6887	humanlymph	20110624
225	154215	NKAIN2	Na+/K+ transporting ATPase interacting 2	TCBA1	human	154215	humanlymph	20110624
226	6929	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	TCF3	human	6929	humanlymph	20110624
227	8115	TCL1A	T-cell leukemia/lymphoma 1A	TCL1A	human	8115	humanlymph	20110624
228	3195	TLX1	T-cell leukemia homeobox 1	TLX1	human	3195	humanlymph	20110624
229	30012	TLX3	T-cell leukemia homeobox 3	TLX3	human	30012	humanlymph	20110624
598	25	ABL1	c-abl oncogene 1, non-receptor tyrosine kinase	25	human	25	sanger	20110624
599	27	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2	27	human	27	sanger	20110624
600	2181	ACSL3	acyl-CoA synthetase long-chain family member 3	2181	human	2181	sanger	20110624
601	57082	AF15Q14	cancer susceptibility candidate 5	57082	human	57082	sanger	20110624
602	10962	AF1Q	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	10962	human	10962	sanger	20110624
603	51517	AF3p21	NCK interacting protein with SH3 domain	51517	human	51517	sanger	20110624
604	27125	AF5q31	AF4/FMR2 family, member 4	27125	human	27125	sanger	20110624
605	10142	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	10142  	human	10142	sanger	20110624
606	207	AKT1	v-akt murine thymoma viral oncogene homolog 1	207	human	207	sanger	20110624
607	208	AKT2	v-akt murine thymoma viral oncogene homolog 2	208	human	208	sanger	20110624
608	217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	217	human	217	sanger	20110624
609	238	ALK	anaplastic lymphoma receptor tyrosine kinase	238	human	238	sanger	20110624
610	57714	ALO17	KIAA1618 protein	57714	human	57714	sanger	20110624
611	324	APC	adenomatous polyposis coli	324	human	324	sanger	20110624
612	23365	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	23365	human	23365	sanger	20110624
613	399	ARHH	ras homolog gene family, member H	399	human	399	sanger	20110624
614	8289	ARID1A	AT rich interactive domain 1A (SWI-like)	8289	human	8289	sanger	20110624
615	405	ARNT	aryl hydrocarbon receptor nuclear translocator	405	human	405	sanger	20110624
616	79058	ASPSCR1	alveolar soft part sarcoma chromosome region, candidate 1	79058	human	79058	sanger	20110624
617	171023	ASXL1	additional sex combs like 1 (Drosophila)	171023	human	171023	sanger	20110624
618	466	ATF1	activating transcription factor 1	466	human	466	sanger	20110624
619	471	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	471	human	471	sanger	20110624
620	472	ATM	ataxia telangiectasia mutated	472	human	472	sanger	20110624
621	546	ATRX	alpha thalassemia/mental retardation syndrome X-linked	546	human	546	sanger	20110624
622	8314	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	8314	human	8314	sanger	20110624
623	8915	BCL10	B-cell CLL/lymphoma 10	8915	human	8915	sanger	20110624
624	53335	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	53335	human	53335	sanger	20110624
625	64919	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	64919	human	64919	sanger	20110624
626	596	BCL2	B-cell CLL/lymphoma 2	596	human	596	sanger	20110624
627	602	BCL3	B-cell CLL/lymphoma 3	602	human	602	sanger	20110624
628	603	BCL5	B-cell CLL/lymphoma 5	603	human	603	sanger	20110624
629	604	BCL6	B-cell CLL/lymphoma 6	604	human	604	sanger	20110624
630	605	BCL7A	B-cell CLL/lymphoma 7A	605	human	605	sanger	20110624
631	607	BCL9	B-cell CLL/lymphoma 9	607	human	607	sanger	20110624
632	613	BCR	breakpoint cluster region	613	human	613	sanger	20110624
633	201163	BHD	folliculin	201163	human	201163	sanger	20110624
634	330	BIRC3	baculoviral IAP repeat containing 3	330	human	330	sanger	20110624
635	641	BLM	Bloom syndrome, RecQ helicase-like	641	human	641	sanger	20110624
636	657	BMPR1A	bone morphogenetic protein receptor, type IA	657	human	657	sanger	20110624
637	673	BRAF	v-raf murine sarcoma viral oncogene homolog B1	673	human	673	sanger	20110624
638	672	BRCA1	familial breast/ovarian cancer gene 1	672	human	672	sanger	20110624
639	675	BRCA2	breast cancer 2, early onset	675	human	675	sanger	20110624
640	8019	BRD3	bromodomain containing 3	8019	human	8019	sanger	20110624
641	23476	BRD4	bromodomain containing 4	23476	human	23476	sanger	20110624
642	83990	BRIP1	BRCA1 interacting protein C-terminal helicase 1	83990	human	83990	sanger	20110624
643	694	BTG1	B-cell translocation gene 1, anti-proliferative	694	human	694	sanger	20110624
644	701	BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	human	701	sanger	20110624
645	93669	C12orf9	chromosome 12 open reading frame 9	93669	human	93669	sanger	20110624
646	283651	C15orf21	high mobility group nucleosomal binding domain 2 pseudogene 46	283651	human	283651	sanger	20110624
647	256646	C15orf55	chromosome 15 open reading frame 55	NUT	human	256646	sanger	20110624
648	116028	C16orf75	RMI2, RecQ mediated genome instability 2, homolog (S. cerevisiae)	116028	human	116028	sanger	20110624
649	124583	CANT1	calcium activated nucleotidase 1	124583	human	124583	sanger	20110624
650	84433	CARD11	caspase recruitment domain family, member 11	84433	human	84433	sanger	20110624
651	833	CARS	cysteinyl-tRNA synthetase	833	human	833	sanger	20110624
652	862	CBFA2T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862	human	862	sanger	20110624
653	863	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	863	human	863	sanger	20110624
654	865	CBFB	core-binding factor, beta subunit	865	human	865	sanger	20110624
655	867	CBL 	Cas-Br-M (murine) ecotropic retroviral transforming sequence	867	human	867	sanger	20110624
656	868	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	868	human	868	sanger	20110624
657	23624	CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	23624	human	23624	sanger	20110624
658	57820	CCNB1IP1	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase	HEI10	human	57820	sanger	20110624
659	595	CCND1	cyclin D1	595	human	595	sanger	20110624
660	894	CCND2	cyclin D2	894	human	894	sanger	20110624
661	896	CCND3	cyclin D3	896	human	896	sanger	20110624
