HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:31130	ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4	Approved			15q13.1		
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q24	AF091582	NM_003742
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	MRP, MRP1	GS-X	16p13.1	L05628	NM_004996
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	CMOAT	DJS, MRP2, cMRP	10q24	U63970	NM_000392
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21	Y17151	NM_020038
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved		MRP4, EST170205, MOAT-B, MOATB	13q31	U66682	NM_005845
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved		MRP5, SMRP, EST277145, MOAT-C	3q27	AF104942	NM_005688
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved			3q27.1		
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622	
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	Approved			16p12.3	BC075833	NR_003569
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved			16p13.11		NR_023387
HGNC:58	ABCC7~withdrawn	symbol withdrawn, see CFTR	Symbol Withdrawn					
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207	NM_000352
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	Approved		SUR2, CMD1O	12p12.1	AF061323	NM_005691
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved		EST182763, MRP7, SIMRP7	6p12.3	U66684	NM_033450
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Approved		MRP8	16q12	AF367202	NM_032583
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Approved		MRP9	16q12.1	AY040220	NM_033226
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Approved		PRED6, C21orf73, ABCC13P	21q11.2	AF418600	
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876	NM_000033
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	Approved			2p11	U90290	
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	Approved		bA453N3.6	10p11.1	U90288	
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	Approved			16p11.2	U90289	
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	Approved			22q11.1	U90291	
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	Approved			2p11.1		
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	Approved	ALDL1	ALDR, ALDRP	12q12	U28150	NM_005164
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	PXMP1	PMP70, ZWS2	1p21.3	M81182	NM_002858
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	PXMP1L	PMP69, P70R, EST352188	14q24	AF009746	NM_005050
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP	4q31	X74987	NM_002940
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	ABC50	EST123147	6p21.33	AF027302	
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016	NM_005692
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	Approved			3p11.1		
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	Approved			7q11.22		
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved		EST201864	3q27.1	U66685	NM_018358
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved		ABC8	21q22.3	U34919	NM_207174
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	NM_004827
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Approved		WHITE2	11q23	AJ300465	NM_022169
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	Approved		STSL	2p21	T93792	NM_022436
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	Approved		GBD4	2p21	AF320294	NM_022437
HGNC:75	ABCR~withdrawn	symbol withdrawn, see ABCA4	Symbol Withdrawn					
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved		LABH1, FLJ36128	2p23.3	AK093447	NM_032604
HGNC:18717	ABHD2	abhydrolase domain containing 2	Approved		LABH2	15q26.1	X12433	
HGNC:18718	ABHD3	abhydrolase domain containing 3	Approved		LABH3	18q11.1	AK024880	
HGNC:20154	ABHD4	abhydrolase domain containing 4	Approved		FLJ12816	14q11.1	AK022878	
HGNC:21396	ABHD5	abhydrolase domain containing 5	Approved		CGI-58, NCIE2	3p21.33	AF007132	NM_016006
HGNC:21398	ABHD6	abhydrolase domain containing 6	Approved			3p21.2	AF225418	NM_020676
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved		FLJ11743, MGC14280, MGC2512	19p13.12	AK021805	NM_024527
HGNC:25656	ABHD10	abhydrolase domain containing 10	Approved		FLJ11342	3q13.2	AL713726	NM_018394
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	PP1226	7q11.23	AF217971	
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	Approved	WBSCR26, LINC00035	NCRNA00035	7q11.23	BU595969	NR_026690
HGNC:40012	ABHD11-AS2~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:15868	ABHD12	abhydrolase domain containing 12	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442	NM_015600
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	C14orf29	BEM46L3	14q21.3	BG698443	
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.2	AK027812	NM_032859
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved		DKFZP564O243, DORZ1	3p21.1	AY358201	NM_015407
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Approved			3p21.2		
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved		MGC15429, CIB	3p21.2	AK075112	NM_032750
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved			17q11.2	AK056717	NM_198147
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	Approved		linc-TP53I13, lnc-TP53I13	17q11.2	CN275323	
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	Approved	BAT5	NG26, D6S82E	6p21.3	AF129756	
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	C20orf135	dJ591C20.1	20q13.33		
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	Approved	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512	NM_031213
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2		NG_011738
HGNC:33538	ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1	Symbol Withdrawn					
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	Approved	FAM108A4, FAM108A4P		1q41		XR_041784
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	Approved	FAM108A5, FAM108A5P		22q11.21		
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	Approved	FAM108A6, FAM108A6P		22q11.22		
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	Approved	FAM108A7P		17p11.2		
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	Approved	FAM108A8P		16p11.2		
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	Approved	FAM108A9P		16p11.2		
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	Approved	FAM108A10P		16p11.2		
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	Approved	C9orf77, FAM108B1	CGI-67	9q21.2	AF151825	NM_016014
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	Approved	FAM108C1		15q25.1		NM_021214
HGNC:26111	ABHD18	abhydrolase domain containing 18	Approved	C4orf29	FLJ21106	4q28.2	AK024759	NM_001039717
HGNC:11320	ABI1	abl interactor 1	Approved	SSH3BP1	E3B1, ABI-1	10p12.1	U87166	NM_005470
HGNC:20035	ABI1P1	abl-interactor 1 pseudogene 1	Approved	SSH3BP1P, ABI1P		14q22		
HGNC:24011	ABI2	abl-interactor 2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33	AF260261	NM_005759
HGNC:29859	ABI3	ABI family member 3	Approved		NESH, SSH3BP3	17q21.3	AB037886	NM_016428
HGNC:17265	ABI3BP	ABI family member 3 binding protein	Approved		NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106	
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	JTK7, c-ABL, p150	9q34.1	M14752	NM_007313
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	ARG	1q25.2	M14904	NM_005158
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	LIMAB1, ABLIM	abLIM, limatin	10q25	AF005654	
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved		KIAA1808	4p16.1	AB058711	NM_001130083
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved		KIAA0843	5q33.1	AB020650	NM_014945
HGNC:79	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Approved		A3GALNT, A3GALT1	9q34.2	AF134415	NM_020469
HGNC:81	ABR	active BCR-related	Approved		MDB	17p13	L19704	
HGNC:30655	ABRA	actin binding Rho activating protein	Approved		STARS	8q23.1	AF503617	NM_139166
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953	NM_021243
HGNC:17369	ABT1	activator of basal transcription 1	Approved			6p21.31	AB027258	
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	Approved			4q23		NG_025142
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	3q21	AB053324	NM_172027
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	NM_145804
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved			3p22.2	X14813	NM_001607
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved		DSAEC	18q21	D16294	NM_006111
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	ACAC, ACC	ACC1	17q12	U19822	NM_198836
HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved		HACC275, ACC2, ACCB	12q24.1	U89344	NM_001093
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	Approved			11q25	AF126245	NM_014384
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Approved		NPD002, MGC14452	3q21.3	AF078854	NM_014049
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	Approved		MGC5601	12q24.12	AY323912	NM_025247
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	Approved		FLJ12592	3q22.1	BC019607	NM_032169
HGNC:88	ACADL	acyl-CoA dehydrogenase, long chain	Approved		LCAD, ACAD4	2q34	M74096	NM_001608
HGNC:89	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Approved		MCAD, MCADH, ACAD1	1p31	M16827	
HGNC:90	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	Approved		SCAD, ACAD3	12q24.31	M26393	NM_000017
HGNC:91	ACADSB	acyl-CoA dehydrogenase, short/branched chain	Approved		SBCAD, ACAD7	10q26.13	U12778	NM_001609
HGNC:92	ACADVL	acyl-CoA dehydrogenase, very long chain	Approved		VLCAD, LCACD, ACAD6	17p13.1	BC012912	NM_000018
HGNC:86	ACAD~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:319	ACAN	aggrecan	Approved	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	M55172	NM_001135
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	CENTB1	KIAA0050	17p13.1	D30758	NM_014716
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	KIAA0041, CNT-B2	3q29		NM_012287
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	Approved			3q29		
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	KIAA1716	1p36	AF411981	NM_030649
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	Approved	ACAT	THIL	11q22.3	D90228	NM_000019
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Approved			6q25.3	AF356877	NM_005891
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	GOLPH1, GOCAP1	GCP60, PAP7	1q41	AB043587	NM_022735
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Approved		FLJ13322	17q21.31	BC029164	NM_024722
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Approved		DKFZp434A2417, KIAA1996	10p12.1	AF505653	NM_145698
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Approved		MGC2404	1q25.3	BC006505	NM_032360
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Approved		FLJ38219, bA455B2.2	10p13	AK095538	
HGNC:96	ACBP~withdrawn	symbol withdrawn, see CPN2	Symbol Withdrawn					
HGNC:98	ACCN~withdrawn	symbol withdrawn, see ASIC2	Symbol Withdrawn					
HGNC:14594	ACCPN~withdrawn	symbol withdrawn, see SLC12A6	Symbol Withdrawn					
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Approved		PHACS, ACS	11p11	AY026508	NM_032592
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase (inactive)-like	Approved			11p11.2		NM_001031854
HGNC:97	ACC~withdrawn	symbol withdrawn, see ACACA	Symbol Withdrawn					
HGNC:25070	ACD	adrenocortical dysplasia homolog	Approved		Ptop, Pip1, Tpp1, Tint1	16q22	AF070535	NM_022914
HGNC:2707	ACE	angiotensin I converting enzyme	Approved	DCP1	ACE1, CD143	17q23.3	J04144	
HGNC:13557	ACE2	angiotensin I converting enzyme 2	Approved			Xp22	AF291820	
HGNC:44365	ACE3P	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene	Approved			17q23.3		
HGNC:18356	ACER1	alkaline ceramidase 1	Approved	ASAH3		19p13.3	AF347024	NM_133492
HGNC:23675	ACER2	alkaline ceramidase 2	Approved	ASAH3L	FLJ41587	9p21.3	AK123581	XM_294540
HGNC:16066	ACER3	alkaline ceramidase 3	Approved	PHCA	FLJ11238, APHC	11q13.5	AF214454	NM_018367
HGNC:107	ACHAP~withdrawn	symbol withdrawn, see CUTA	Symbol Withdrawn					
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	Approved	YT		7q22		NM_015831
HGNC:109	ACHM1~withdrawn	symbol withdrawn, see CNGB3	Symbol Withdrawn					
HGNC:110	ACHM2~withdrawn	symbol withdrawn, see CNGA3	Symbol Withdrawn					
HGNC:111	ACHM3~withdrawn	symbol withdrawn, see CNGB3	Symbol Withdrawn					
HGNC:112	ACHRD~withdrawn	symbol withdrawn, see CHRND	Symbol Withdrawn					
HGNC:113	ACHRG~withdrawn	symbol withdrawn, see CHRNG	Symbol Withdrawn					
HGNC:106	ACH~withdrawn	symbol withdrawn, see FGFR3	Symbol Withdrawn					
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	Approved	ACINUS	KIAA0670, fSAP152	14q11.2	AB014570	NM_014977
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	FY, DARC	CCBP1, GPD, Dfy, CD234	1q21-q22	U01839	NM_002036
HGNC:1565	ACKR2	atypical chemokine receptor 2	Approved	CMKBR9, CCBP2	CCR10, D6, CCR9	3p21.3	U94888	NM_001296
HGNC:23692	ACKR3	atypical chemokine receptor 3	Approved	CMKOR1, CXCR7	RDC1, GPR159	2q37.3	BC008459	NM_020311
HGNC:1611	ACKR4	atypical chemokine receptor 4	Approved	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22	AF110640	NM_016557
HGNC:114	ACLS	acrocallosal syndrome	Approved			12p13.3-p11.2		
